metric,data type,min,max,standard deviation,mean,median
sharpness,uncleaned,1.2664909362792969,3825.024579791481,134.70225631004607,72.08182705434689,39.028185039883404
sharpness,cleaned,1.9210184454183807,4011.0721339228417,196.82832592190186,114.9318903701715,50.56760169914266
brightness,uncleaned,0.1331419776467716,0.9972079593318808,0.13434174626512652,0.7145643270111207,0.7268984109851668
brightness,cleaned,0.1621597530864197,0.9945944807552652,0.10311711384594077,0.7376594584044891,0.7382903340595497
snr,uncleaned,0.3614619759247369,47.73749295476927,3.5495832934173897,5.259908135616268,4.56347125260337
snr,cleaned,0.7149677928946564,47.70248125506592,3.551107127262955,6.067680936768758,5.2141783589197175
cnr,uncleaned,1.1598738828715722,18.55887525107944,1.3815625588066796,3.4086674664372767,3.2049407344193224
cnr,cleaned,1.162517230373192,8.814543090817013,0.921129459799835,3.177986127500432,3.1118753411822238
contrast,uncleaned,8.486382457192036,198.37977045039224,35.42343612910916,74.24809397611921,68.43905714588942
contrast,cleaned,7.3200173710716,191.82863625084732,29.056719047502575,65.58900587893191,62.23823304524187
rms contrast,uncleaned,0.0206251319533384,0.3896805727195757,0.06942027668445717,0.1304119667627516,0.11282885438016965
rms contrast,cleaned,0.0154455898670818,0.3630424665079408,0.05199282765778216,0.11484593889885429,0.104093911789609
