generation,learning_rate,batch_size,num_epoch,optimizer,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,fitness_value,accuracy,precision,recall,f1,evaluation
2.125,0.00577,1,1,2,6,2,5,12,2,8,4,11,1,6,2,11,13,7,3,13,0.1445869933479322,0.8194180898165718,0.7862679955703211,0.6525735294117647,0.7132094424912104,0.7327355046482209
2.250,0.00918,1,3,1,7,3,3,7,2,6,3,3,12,3,4,1,8,1,13,4,0.12385462609569137,0.3440860215053763,0.3440860215053763,1.0,0.512,0.639247311827957
2.375,0.00577,1,2,2,13,5,6,1,6,10,2,3,13,3,3,11,4,9,5,13,0.15200066760097133,0.7906388361796332,0.6512784090909091,0.8428308823529411,0.7347756410256409,0.7653491074765684
2.500,0.00641,2,2,2,13,8,4,2,8,5,1,9,4,13,9,3,1,13,2,4,0.13464956790068908,0.6758380771663504,0.5181556195965418,0.8262867647058824,0.6369110874955721,0.6883511264097067
2.625,0.00521,1,1,2,2,6,2,5,12,8,3,1,3,13,7,1,3,13,3,9,0.14473622695102978,0.7488931056293485,0.5968379446640316,0.8327205882352942,0.6953184957789716,0.7333961664641632
2.750,0.00577,1,1,2,4,6,3,13,2,4,5,9,3,5,8,10,4,12,1,4,0.14060944405848877,0.732764073371284,0.579672131147541,0.8125,0.6766169154228856,0.7150630605758962
2.875,0.00577,1,3,2,7,4,5,5,7,10,2,2,9,4,3,12,7,3,3,9,0.14801032856837845,0.7387729285262492,0.5789156626506025,0.8832720588235294,0.6994177583697234,0.7478474941035489
3.000,0.00577,1,1,2,6,2,5,12,3,5,13,8,3,2,11,13,8,3,4,13,0.16010569341303538,0.8010752688172043,0.6628814762242725,0.8584558823529411,0.7480977172607127,0.7785287175007598
3.125,0.00521,1,1,2,9,3,12,8,4,7,2,13,3,1,4,8,4,4,6,5,0.12505832142456297,0.482605945604048,0.3884364820846905,0.8768382352941176,0.5383747178329571,0.6270511637328042
3.250,0.00577,1,1,2,6,2,13,5,3,9,4,8,10,1,3,12,5,12,3,8,0.14241961925554092,0.6878557874762808,0.5290396779758482,0.8455882352941176,0.650866643084542,0.703249750669156
3.375,0.00577,2,3,2,7,5,1,13,4,9,2,4,12,8,2,9,3,9,2,11,0.14994676193716455,0.7906388361796332,0.6737357259380098,0.7591911764705882,0.713915298184961,0.7355713007259947
3.500,0.00521,1,1,2,2,6,2,5,12,8,1,2,9,4,3,12,7,3,3,9,0.12780156897868686,0.3440860215053763,0.3440860215053763,1.0,0.512,0.639247311827957
3.625,0.00521,1,1,2,7,1,9,4,3,3,13,8,5,5,4,7,3,6,3,2,0.14188614383514464,0.7808349146110057,0.6820276497695853,0.6801470588235294,0.6810860561435802,0.7009428368121442
3.750,0.00577,1,2,2,11,12,8,4,13,3,8,4,8,1,13,8,10,5,8,5,0.14197697154578293,0.7277039848197343,0.5764309764309764,0.7867647058823529,0.6653711620676254,0.7013357563618474
3.875,0.00577,1,1,2,3,11,13,8,3,6,1,6,3,9,3,7,5,2,13,5,0.15456519089853046,0.8074003795066413,0.6977704376548307,0.7766544117647058,0.7351022183558069,0.7551942143746366
4.000,0.00577,1,1,2,6,2,5,12,3,5,13,8,3,2,11,13,8,3,4,13,0.17869333101029283,0.8010752688172043,0.6628814762242725,0.8584558823529411,0.7480977172607127,0.7785287175007598
4.125,0.00577,1,1,2,3,11,12,2,7,1,8,3,3,7,5,5,7,3,5,9,0.17309294333806918,0.8064516129032258,0.6925566343042071,0.7867647058823529,0.7366609294320138,0.7577292622341765
4.250,0.00577,1,1,2,3,11,4,2,8,4,8,10,2,8,1,1,4,8,10,2,0.1604802332913618,0.6932321315623023,0.5338691159586682,0.8547794117647058,0.657243816254417,0.7101513521921119
4.375,0.00577,1,2,1,12,3,7,5,13,8,2,8,2,12,9,5,13,4,8,3,0.026214892198613043,0.6559139784946236,0.0,0.0,0.0,0.1311827956989247
4.500,0.00577,2,1,2,6,2,3,4,9,5,4,5,7,2,12,8,1,2,8,10,0.1465595485266186,0.706831119544592,0.5581227436823105,0.7104779411764706,0.6251516376870199,0.6564242577271389
4.625,0.00577,1,1,2,6,2,5,12,3,5,13,8,3,9,3,7,5,11,13,5,0.1663300618106216,0.633459835547122,0.4837230628152223,0.9696691176470588,0.6454573263995106,0.7323461420359287
