generation,learning_rate,batch_size,num_epoch,optimizer,fitness_value,accuracy,precision,recall,f1,evaluation
0.000,0.00812,2,3,1,0.09709709650405905,0.7084123972169513,0.7095959595959596,0.2582720588235294,0.3787061994609164,0.5062634917725644
0.125,0.00312,2,2,3,0.147172583551884,0.7896900695762176,0.6729354047424366,0.7564338235294118,0.7122457810471657,0.7338606261633316
0.250,0.0093,2,3,1,0.12407618549445375,0.340607210626186,0.3413935730194082,0.9862132352941176,0.5072086977073978,0.631405148564383
0.375,0.00527,2,2,2,0.156708771055212,0.8064516129032258,0.6768202080237742,0.8373161764705882,0.7485620377978637,0.7749696748007309
0.500,0.00645,2,3,1,0.15081748530865022,0.7843137254901961,0.6490455212922174,0.8125,0.7216326530612245,0.7496536775503153
0.625,0.00164,2,2,1,0.1560913209166932,0.8067678684376977,0.6797287113790504,0.8290441176470589,0.7469979296066253,0.7723284756113837
0.750,0.00702,1,3,2,0.15667737615327193,0.8045540796963947,0.6727941176470589,0.8409926470588235,0.7475490196078433,0.7748354482922201
0.875,0.00186,2,2,2,0.15716958812472018,0.7988614800759013,0.6596045197740112,0.8584558823529411,0.7460063897763578,0.7769390249949077
1.000,0.00409,2,1,1,0.1423239228693083,0.8064516129032258,0.6868131868131868,0.8042279411764706,0.7408975444538526,0.7635775114946723
1.125,0.00263,2,2,2,0.14447872421107558,0.7852624920936117,0.6367892976588628,0.875,0.7371273712737128,0.7736787525993243
1.250,0.00527,1,2,3,0.13789922602215587,0.8121442125237192,0.7291280148423006,0.7224264705882353,0.7257617728531855,0.7427155594642549
1.375,0.00645,2,3,1,0.1393669507510901,0.7843137254901961,0.6490455212922174,0.8125,0.7216326530612245,0.7496536775503153
1.500,0.00189,1,2,2,0.1475393188147666,0.8077166350411132,0.6694915254237288,0.8713235294117647,0.7571884984025559,0.7879609491418218
1.625,0.00186,2,2,2,0.14517594339969,0.7988614800759013,0.6596045197740112,0.8584558823529411,0.7460063897763578,0.7769390249949077
1.750,0.00527,2,2,1,0.1425466903729577,0.7726122707147375,0.6205094709340301,0.8731617647058824,0.7254677357770141,0.7646235630875051
1.875,0.00128,2,3,1,0.14358555402035575,0.7982289690069576,0.6635174418604651,0.8391544117647058,0.7410714285714286,0.769496383746672
2.000,0.00189,1,2,2,0.14952712599304438,0.8077166350411132,0.6694915254237288,0.8713235294117647,0.7571884984025559,0.7879609491418218
2.125,0.00598,2,2,2,0.14086207029620426,0.8295382669196711,0.802646085997795,0.6691176470588235,0.7298245614035087,0.7479367246596331
2.250,0.00263,2,2,1,0.1427821183436751,0.7621758380771664,0.6078305519897305,0.8704044117647058,0.7157974300831443,0.7568578461059565
2.375,0.00527,2,3,2,0.13994977111063464,0.8292220113851992,0.8178654292343387,0.6479779411764706,0.7230769230769232,0.7436873760384701
2.500,0.00186,2,2,3,0.1430485922363251,0.8222643896268185,0.7412844036697248,0.7426470588235294,0.7419651056014692,0.7580935956803556
2.625,0.00186,2,2,2,0.14712782615954825,0.7988614800759013,0.6596045197740112,0.8584558823529411,0.7460063897763578,0.7769390249949077
2.750,0.00894,2,2,1,0.13302322863867266,0.6438962681846933,0.4906126482213438,0.9126838235294118,0.6381748071979435,0.7112014011026443
2.875,0.00527,2,2,2,0.1467001838027701,0.8064516129032258,0.6768202080237742,0.8373161764705882,0.7485620377978637,0.7749696748007309
3.000,0.00189,1,2,2,0.14605226429472187,0.8077166350411132,0.6694915254237288,0.8713235294117647,0.7571884984025559,0.7879609491418218
3.125,0.00747,2,2,2,0.14412405208175705,0.7877925363693865,0.6383543463835435,0.8841911764705882,0.7414258188824664,0.7788685579198822
3.250,0.00562,2,1,3,0.1398059334928062,0.8225806451612904,0.7419651056014692,0.7426470588235294,0.7423059255856682,0.7583950924633606
3.375,0.00527,2,2,2,0.14329920696040976,0.8064516129032258,0.6768202080237742,0.8373161764705882,0.7485620377978637,0.7749696748007309
3.500,0.00189,1,2,3,0.14172510030093324,0.8070841239721696,0.6846986089644513,0.8143382352941176,0.7439126784214944,0.7675135438143448
